127.0.0.1 - - [11/Sep/2018:15:37:33 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [11/Sep/2018:15:39:19 +0800] "GET /EyuShopPortal/ HTTP/1.1" 200 15882
0:0:0:0:0:0:0:1 - - [11/Sep/2018:15:39:19 +0800] "GET /EyuShopPortal/get_attribute HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [11/Sep/2018:15:39:21 +0800] "GET /EyuShop/product/list?cid=13&pn=1 HTTP/1.1" 200 340
0:0:0:0:0:0:0:1 - - [11/Sep/2018:15:39:21 +0800] "GET /EyuShop/manage/category/root_list HTTP/1.1" 200 2207
0:0:0:0:0:0:0:1 - - [11/Sep/2018:15:39:21 +0800] "GET /EyuShopPortal/get_attribute HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [11/Sep/2018:15:39:21 +0800] "GET /EyuShop/product/list?cid=10&pn=1 HTTP/1.1" 200 340
0:0:0:0:0:0:0:1 - - [11/Sep/2018:15:39:21 +0800] "GET /EyuShop/product/list?cid=7&pn=1 HTTP/1.1" 200 340
0:0:0:0:0:0:0:1 - - [11/Sep/2018:15:39:21 +0800] "GET /EyuShop/product/list?cid=8&pn=1 HTTP/1.1" 200 603
0:0:0:0:0:0:0:1 - - [11/Sep/2018:15:39:21 +0800] "GET /EyuShop/product/list?cid=11&pn=1 HTTP/1.1" 200 611
0:0:0:0:0:0:0:1 - - [11/Sep/2018:15:39:21 +0800] "GET /EyuShop/product/list?cid=7&pn=1 HTTP/1.1" 200 340
0:0:0:0:0:0:0:1 - - [11/Sep/2018:15:47:34 +0800] "GET /EyuShopPortal/index HTTP/1.1" 200 15882
0:0:0:0:0:0:0:1 - - [11/Sep/2018:15:47:34 +0800] "GET /EyuShopPortal/get_attribute HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [11/Sep/2018:15:47:34 +0800] "GET /EyuShopPortal/get_attribute HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [11/Sep/2018:15:47:34 +0800] "GET /EyuShop/product/list?cid=8&pn=1 HTTP/1.1" 200 603
0:0:0:0:0:0:0:1 - - [11/Sep/2018:15:47:34 +0800] "GET /EyuShop/product/list?cid=13&pn=1 HTTP/1.1" 200 340
0:0:0:0:0:0:0:1 - - [11/Sep/2018:15:47:34 +0800] "GET /EyuShop/product/list?cid=7&pn=1 HTTP/1.1" 200 340
0:0:0:0:0:0:0:1 - - [11/Sep/2018:15:47:34 +0800] "GET /EyuShop/product/list?cid=11&pn=1 HTTP/1.1" 200 611
0:0:0:0:0:0:0:1 - - [11/Sep/2018:15:47:34 +0800] "GET /EyuShop/product/list?cid=7&pn=1 HTTP/1.1" 200 340
0:0:0:0:0:0:0:1 - - [11/Sep/2018:15:47:34 +0800] "GET /EyuShop/product/list?cid=10&pn=1 HTTP/1.1" 200 340
0:0:0:0:0:0:0:1 - - [11/Sep/2018:15:47:34 +0800] "GET /EyuShop/manage/category/root_list HTTP/1.1" 200 2207
0:0:0:0:0:0:0:1 - - [11/Sep/2018:15:47:36 +0800] "GET /EyuShopPortal/products?cid=8 HTTP/1.1" 200 11525
